,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Primary Property Type - Self Selected,Largest Property Use Type (ft²),2nd Largest Property Use (ft²),3rd Largest Property Use Type (ft²),Total area (ft²),Site Gas (kBtu/ft²),Electricity Use Grid Purchase (kBtu),ENERGY STAR Score,Property Id,Electricity Use - Grid Purchase (kBtu),Electricity Use Area (kBtu/ft²),GHG Emissions Area (Metric Tons CO2e/ft²),Water use Area (kgal/ft²),Code Property Type
10,1908,1,100,6.8,115700.0,1157.0,50598.0,22.2,6.1,16.0,42128.0,0.0,0.0,15.8,Residence Hall/Dormitory,42128.0,0.0,0.0,42128.0,2.7463919483478922,172640.4,100,2658221,172640.4,4.097996581845803,0.0005269654386631219,0.0,4
11,1924,1,100,34.2,0.0,0.0,1403199.9,444.3,0.0,444.3,140056.0,0.0,0.0,107.3,Residence Hall/Dormitory,140056.0,0.0,0.0,140056.0,0.0,4787718.5,86,2658276,4787718.5,34.18431555949049,0.0031723025075684015,0.0,4
12,1935,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169396.0,0.0,0.0,0.0,Residence Hall/Dormitory,169396.0,0.0,0.0,169396.0,0.0,0.0,100,2747271,0.0,0.0,0.0,0.0,4
13,1925,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105156.0,0.0,0.0,0.0,Residence Hall/Dormitory,105156.0,0.0,0.0,105156.0,0.0,0.0,100,2747217,0.0,0.0,0.0,0.0,4
14,1961,1,100,73.4,0.0,0.0,5374399.3,1701.7,0.0,1701.7,249978.0,0.0,0.0,230.3,Office,249978.0,0.0,0.0,249978.0,0.0,18337452.7,73,2780716,18337452.7,73.35626615142132,0.006807399051116499,0.0,1
15,1910,1,100,69.9,0.0,0.0,8677598.9,2747.6,0.0,2747.6,423521.0,0.0,0.0,219.5,Office,423521.0,0.0,0.0,423521.0,0.0,29607971.1,71,2780735,29607971.1,69.90909801403001,0.006487517738199522,0.0,1
16,1980,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352040.0,0.0,0.0,0.0,Residence Hall/Dormitory,352040.0,0.0,0.0,352040.0,0.0,0.0,100,2780733,0.0,0.0,0.0,0.0,4
17,1909,1,100,0.1,5800.0,58.0,0.0,0.3,0.3,0.0,53440.0,517.4,9.68,0.1,Multifamily Housing,53440.0,0.0,0.0,53440.0,0.10853293413173652,0.0,100,2977360,0.0,0.0,5.61377245508982e-06,0.009681886227544909,0
18,1920,1,100,1.1,71800.0,718.0,2849.0,4.7,3.8,0.9,74328.0,0.0,0.0,1.4,Residence Hall/Dormitory,74328.0,0.0,0.0,74328.0,0.965988591109676,9720.8,100,2658206,9720.8,0.13078247766655904,6.323323646539662e-05,0.0,4
19,1929,1,100,108.6,5448026.1,54480.3,1195236.2,1367.8,982.8,385.0,174348.0,10175.0,58.36,161.7,Office,117368.0,56979.0,0.0,174347.0,31.24817805869903,4148446.0,84,2741415,4148446.0,23.794192042306435,0.007845274079852249,0.05836062564884971,1
20,1973,1,100,124.5,23052893.3,0.0,3238312.8,4172.5,3132.4,1040.2,481715.0,0.0,0.0,177.2,Office,285890.0,193299.0,2524.0,481713.0,47.85607467516966,11208692.6,78,2741571,11208692.6,23.268403800603263,0.008661796546906561,0.0,1
21,1970,1,100,85.6,49786.0,523.1,825719.4,589.9,320.9,269.0,84508.0,1753.4,20.75,159.6,Office,52850.0,30706.0,951.0,84507.0,0.5891346279006473,2898517.5,81,2741656,2898517.5,34.29914089957045,0.006980486823576745,0.020748577040955188,1
22,1966,1,100,5.4,939000.0,9541.6,450399.9,192.5,49.9,142.6,454925.0,0.0,0.0,12.8,Multifamily Housing,454925.0,62351.0,0.0,517276.0,1.8152784973592435,1536764.8,100,2921191,1536764.8,2.9708797624479004,0.00037214175797833265,0.0,0
23,1959,1,100,16.1,550200.0,5626.8,1289309.8,437.5,29.2,408.2,306659.0,0.0,0.0,46.9,Multifamily Housing,306659.0,0.0,0.0,306659.0,1.794175289164838,4399125.7,100,2694253,4399125.7,14.345333742039204,0.0014266661014351446,0.0,0
24,1960,1,100,18.2,571800.0,5827.5,1482158.3,520.9,30.4,490.5,322571.0,0.0,0.0,53.3,Multifamily Housing,322571.0,0.0,0.0,322571.0,1.7726330017267515,5285841.5,100,2706492,5285841.5,16.386598609298417,0.0016148382836646815,0.0,0
25,1986,1,100,4.5,645900.0,6459.0,0.0,34.3,34.3,0.0,144268.0,0.0,0.0,4.7,Residence Hall/Dormitory,144268.0,0.0,0.0,144268.0,4.4770843153020765,0.0,100,2825112,0.0,0.0,0.000237751961626972,0.0,4
26,1894,1,100,5.4,103300.0,1033.0,90560.0,34.2,5.5,28.7,76964.0,0.0,0.0,14.0,Residence Hall/Dormitory,76964.0,0.0,0.0,76964.0,1.3421859570708383,308990.7,100,2825578,308990.7,4.014743256587495,0.00044436359856556314,0.0,4
27,1962,1,100,12.3,2574200.0,27199.4,0.0,136.7,136.7,0.0,209364.0,0.0,0.0,12.9,Residence Hall/Dormitory,169984.0,39380.0,0.0,209364.0,12.295332530903115,0.0,100,2826200,0.0,0.0,0.0006529298255669551,0.0,4
28,1924,1,100,93.6,8996806.0,97764.0,1976590.4,1325.9,700.1,625.9,200261.0,0.0,0.0,168.0,Residence Hall/Dormitory,200261.0,0.0,0.0,200261.0,44.925402349933336,6744127.4,59,3054453,6744127.4,33.67668892095815,0.006620859777989724,0.0,4
29,1910,1,100,145.0,12136000.3,134783.5,188516.6,707.3,644.6,62.7,88332.0,11388.6,128.93,168.3,Residence Hall/Dormitory,88332.0,0.0,0.0,88332.0,137.3907564642485,675576.0,61,2809939,675576.0,7.648145632386904,0.008007290676085676,0.1289294932753702,4
30,1909,1,100,29.8,92600.0,926.0,165280.0,425.0,372.7,52.3,188572.0,0.0,0.0,36.4,Multifamily Housing,188572.0,0.0,0.0,188572.0,0.4910591180026727,563935.4,100,2809941,563935.4,2.9905574528562036,0.002253781049148336,0.0,0
31,1964,1,100,100.8,8507999.8,85080.0,85080.0,478.8,451.9,26.9,87260.0,6990.5,80.11,112.8,Multifamily Housing,87260.0,0.0,0.0,87260.0,97.50171670868669,290293.0,58,2809828,290293.0,3.3267591107036445,0.005487050194820078,0.08011116204446482,0
32,1967,1,100,17.2,1177500.0,11775.0,105215.1,95.1,62.5,32.6,89091.0,2659.3,29.85,26.3,Multifamily Housing,89091.0,0.0,0.0,89091.0,13.216823248139542,351340.5,100,2809891,351340.5,3.943613833047109,0.0010674478903592954,0.029849255255861986,0
33,1910,1,100,5.5,39900.0,399.0,69088.0,24.0,2.1,21.9,50292.0,4099.9,81.52,15.6,Multifamily Housing,50292.0,0.0,0.0,50292.0,0.793366738248628,235728.3,100,2809890,235728.3,4.6871927940825575,0.0004772130756382725,0.08152191203372305,0
34,2007,1,100,124.1,163200.7,1931.0,90405.9,37.3,8.7,28.6,3800.0,0.0,0.0,300.0,Bank Branch,3800.0,0.0,0.0,3800.0,42.94755263157895,308465.1,45,5077509,308465.1,81.17502631578947,0.00981578947368421,0.0,22
35,1965,4,100,175.4,243056197.6,2410708.7,0.0,12909.9,12909.9,0.0,1385656.0,163058.3,117.68,184.2,Multifamily Housing,1385656.0,0.0,0.0,1385656.0,175.40875772919108,0.0,3,4288940,0.0,0.0,0.009316814562921822,0.11767588781053882,0
36,1978,1,100,76.4,3516912.5,39262.7,974686.9,495.4,186.8,308.6,89506.0,3236.1,36.15,157.9,Office,89506.0,0.0,0.0,89506.0,39.29247759926709,3325632.2,80,2641757,3325632.2,37.155410810448465,0.005534824481040377,0.03615511809264183,1
37,1990,1,100,11.2,1475294.7,15218.0,0.0,78.4,78.4,0.0,131610.0,237581.3,1805.19,11.8,Hospital (General Medical & Surgical),131610.0,0.0,0.0,131610.0,11.209594255755642,0.0,100,1180593,0.0,0.0,0.0005956994149380747,1.8051918547222854,12
38,1928,6,95,122.5,46177697.3,496299.8,2038135.5,3126.2,2452.7,673.5,436115.0,0.0,0.0,163.4,Multifamily Housing,436115.0,0.0,0.0,436115.0,105.88422159292847,7257526.0,17,4397919,7257526.0,16.641312497850336,0.007168292766816091,0.0,0
39,1928,1,100,112.0,8669754.6,95103.3,275487.0,551.5,460.5,91.0,86192.0,0.0,0.0,141.3,Multifamily Housing,84442.0,1750.0,0.0,86192.0,100.58653471319843,980532.0,22,5834261,980532.0,11.37613699647299,0.006398505661778356,0.0,0
40,1928,1,100,97.0,5995197.2,64321.1,301337.5,417.8,318.4,99.3,72806.0,0.0,0.0,132.6,Multifamily Housing,72806.0,0.0,0.0,72806.0,82.34482322885476,1070432.5,43,5834269,1070432.5,14.70253138477598,0.005738538032579733,0.0,0
41,1953,12,100,35.5,5623182.4,59854.4,5695967.6,2200.4,298.7,1901.7,735000.0,45976.8,62.55,95.6,Multifamily Housing,735000.0,0.0,0.0,735000.0,7.650588299319728,20492629.3,96,4440047,20492629.3,27.88112829931973,0.0029937414965986397,0.0625534693877551,0
42,1953,1,100,65.2,0.0,0.0,0.0,277.3,277.3,0.0,70000.0,4414.3,63.06,67.5,Multifamily Housing,70000.0,0.0,0.0,70000.0,0.0,0.0,100,4442615,0.0,0.0,0.0039614285714285715,0.06306142857142857,0
43,1953,1,100,65.9,0.0,0.0,0.0,279.8,279.8,0.0,70000.0,4457.6,63.68,68.2,Multifamily Housing,70000.0,0.0,0.0,70000.0,0.0,0.0,100,4442643,0.0,0.0,0.003997142857142857,0.06368,0
44,1953,1,100,71.5,0.0,0.0,0.0,314.6,314.6,0.0,70000.0,4345.4,62.08,73.7,Multifamily Housing,70000.0,0.0,0.0,70000.0,0.0,0.0,100,4442657,0.0,0.0,0.0044942857142857146,0.06207714285714285,0
45,1953,1,100,154.5,10817395.0,119577.3,0.0,574.6,574.6,0.0,70000.0,6466.9,92.38,162.3,Multifamily Housing,70000.0,0.0,0.0,70000.0,154.53421428571428,0.0,36,4442287,0.0,0.0,0.00820857142857143,0.09238428571428571,0
46,1953,1,100,130.0,9098339.9,100002.4,0.0,483.3,483.3,0.0,70000.0,5053.8,72.2,136.5,Multifamily Housing,70000.0,0.0,0.0,70000.0,129.97628428571429,0.0,69,4442343,0.0,0.0,0.006904285714285714,0.07219714285714286,0
47,1955,1,100,46.2,3233502.1,34925.7,0.0,171.7,171.7,0.0,70000.0,3587.7,51.25,48.5,Multifamily Housing,70000.0,0.0,0.0,70000.0,46.192887142857145,0.0,100,4442385,0.0,0.0,0.002452857142857143,0.05125285714285714,0
48,1955,1,100,1.6,112927.5,1289.6,0.0,6.0,6.0,0.0,70000.0,3807.6,54.39,1.7,Multifamily Housing,70000.0,0.0,0.0,70000.0,1.61325,0.0,100,4442391,0.0,0.0,8.571428571428571e-05,0.054394285714285714,0
49,1955,1,100,68.7,0.0,0.0,0.0,135.1,135.1,0.0,35000.0,5169.1,147.69,71.7,Multifamily Housing,35000.0,0.0,0.0,35000.0,0.0,0.0,100,4442402,0.0,0.0,0.0038599999999999997,0.14768857142857145,0
50,1955,1,100,48.8,3419079.0,0.0,0.0,181.6,181.6,0.0,70000.0,3242.8,46.33,51.3,Multifamily Housing,70000.0,0.0,0.0,70000.0,48.843985714285715,0.0,100,4442416,0.0,0.0,0.0025942857142857143,0.04632571428571429,0
51,1955,1,100,60.3,0.0,0.0,0.0,120.8,120.8,0.0,35000.0,1636.0,46.74,62.9,Multifamily Housing,35000.0,0.0,0.0,35000.0,0.0,0.0,100,4442421,0.0,0.0,0.0034514285714285714,0.04674285714285714,0
52,1955,1,100,58.1,0.0,0.0,0.0,261.9,261.9,0.0,70000.0,3494.9,49.93,59.8,Multifamily Housing,70000.0,0.0,0.0,70000.0,0.0,0.0,100,4442477,0.0,0.0,0.003741428571428571,0.04992714285714286,0
53,1954,5,100,27.4,800922.6,8107.3,2438522.1,858.3,42.5,815.7,350000.0,22515.1,64.33,81.3,Multifamily Housing,350000.0,0.0,0.0,350000.0,2.2883502857142854,8790233.0,99,4442829,8790233.0,25.114951428571427,0.002452285714285714,0.06432885714285713,0
54,1954,1,100,44.6,0.0,0.0,0.0,191.8,191.8,0.0,70000.0,4275.1,61.07,46.1,Multifamily Housing,70000.0,0.0,0.0,70000.0,0.0,0.0,100,4442779,0.0,0.0,0.0027400000000000002,0.06107285714285715,0
55,1966,1,100,42.9,251032.5,2533.5,1874776.1,571.2,13.3,557.8,145938.0,0.0,0.0,131.1,Multifamily Housing,145938.0,0.0,0.0,145938.0,1.7201311515849196,6011124.8,65,4442800,6011124.8,41.18957913634557,0.00391399087283641,0.0,0
56,1953,3,95,85.0,21684718.8,230836.1,1489364.5,1631.7,1151.8,480.0,316000.0,0.0,0.0,123.4,Multifamily Housing,316000.0,0.0,0.0,316000.0,68.62252784810127,5171985.0,65,4455730,5171985.0,16.367041139240506,0.005163607594936709,0.0,0
57,1950,3,100,34.1,1354000.0,13737.1,743834.9,610.3,374.7,235.5,233877.0,0.0,0.0,57.8,Multifamily Housing,233877.0,0.0,0.0,233877.0,5.789367915613763,2537965.1,100,4820364,2537965.1,10.851708804200499,0.0026094913138102506,0.0,0
58,1951,2,100,94.7,7970789.4,85642.1,691109.4,646.0,423.4,222.7,109562.0,0.0,0.0,145.2,Multifamily Housing,109562.0,0.0,0.0,109562.0,72.75140468410581,2399413.9,26,4905835,2399413.9,21.90005567623811,0.0058962048885562515,0.0,0
59,1951,4,100,87.4,11773070.6,117730.7,1039144.6,961.2,625.3,335.9,176032.0,0.0,0.0,134.8,Multifamily Housing,176032.0,0.0,0.0,176032.0,66.88028653881112,3619106.1,36,4905862,3619106.1,20.559364774586438,0.005460370841665152,0.0,0
60,1953,3,100,116.9,14620522.3,159479.2,907007.5,1063.8,776.6,287.2,151492.0,8674.7,57.26,165.5,Multifamily Housing,151492.0,0.0,0.0,151492.0,96.51019393763367,3094710.0,17,4907667,3094710.0,20.42820743009532,0.007022152984976104,0.057261769598394636,0
61,1953,3,100,117.5,14911764.4,162475.8,968997.7,1110.1,792.0,318.1,156144.0,0.0,0.0,169.2,Multifamily Housing,156144.0,0.0,0.0,156144.0,95.50007941387437,3427881.8,14,4907678,3427881.8,21.95333666359258,0.007109463059739727,0.0,0
62,1953,3,100,113.3,13358662.2,146203.7,917509.1,1010.0,709.5,300.4,146484.0,1163027.2,7939.62,165.1,Multifamily Housing,146484.0,0.0,0.0,146484.0,91.19536741214057,3237312.4,17,4907681,3237312.4,22.100109226946287,0.006894950984407853,7.939619344092187,0
63,1953,5,100,120.3,25623358.2,278972.3,1453607.8,1838.5,1361.0,477.5,255704.0,12211.8,47.76,168.4,Multifamily Housing,255704.0,0.0,0.0,255704.0,100.2071074367237,5145814.7,15,4907691,5145814.7,20.124107170791227,0.00718995400932328,0.04775756343271908,0
64,1953,3,100,117.4,17801886.6,197550.8,1088595.4,1297.0,945.5,351.5,183912.0,11235.4,61.09,166.3,Multifamily Housing,183912.0,0.0,0.0,183912.0,96.79567728043848,3787638.3,16,4907695,3787638.3,20.594840467179953,0.007052285875853669,0.061091174039758146,0
65,1939,2,100,74.5,8327980.1,90027.9,1003615.5,768.7,442.3,326.4,159090.0,5592.4,35.15,124.4,Multifamily Housing,159090.0,0.0,0.0,159090.0,52.34760261487208,3516812.7,49,4919900,3516812.7,22.1058061474637,0.004831856182035326,0.035152429442453954,0
66,1994,1,75,29.0,2412.0,24.1,545521.9,172.9,0.1,172.7,32148.0,27280.0,424.29,90.9,Retail Store,64296.0,0.0,0.0,64296.0,0.037513997760358346,1861321.1,94,3526663,1861321.1,28.949251897474184,0.002689125295508274,0.424287669528431,8
67,1952,2,100,116.7,7683289.3,83653.7,490817.8,567.5,408.1,159.4,80568.0,0.0,0.0,167.1,Multifamily Housing,80568.0,0.0,0.0,80568.0,95.36403162545923,1718199.8,16,4924559,1718199.8,21.32608231555953,0.007043739449905669,0.0,0
68,1952,2,100,117.4,9054916.5,100695.8,591999.5,676.2,481.0,195.2,95056.0,0.0,0.0,169.5,Multifamily Housing,95056.0,0.0,0.0,95056.0,95.25875799528698,2103971.2,8,4924571,2103971.2,22.134017842114122,0.007113701397071201,0.0,0
69,1952,2,100,122.7,7571401.6,82657.9,359173.4,519.4,402.2,117.3,72016.0,0.0,0.0,165.5,Multifamily Housing,72016.0,0.0,0.0,72016.0,105.13499222395023,1263577.4,17,4924576,1263577.4,17.545787047322815,0.007212286158631415,0.0,0
70,1947,1,100,95.3,17000.0,179.4,2564943.5,813.0,0.9,812.1,92000.0,1896.1,20.61,298.9,Office,69000.0,23000.0,0.0,92000.0,0.18478260869565216,8751588.4,33,4938525,8751588.4,95.12596086956522,0.008836956521739131,0.02060978260869565,1
71,1914,2,100,69.9,129387.9,1293.9,224405.4,370.4,297.7,72.7,69094.0,2419.8,35.02,94.9,Multifamily Housing,69094.0,0.0,0.0,69094.0,1.8726358294497352,783477.1,99,4939808,783477.1,11.339292847425247,0.005360812805742901,0.03502185428546618,0
72,1914,1,100,56.8,2779900.0,27799.0,329716.3,254.2,147.7,106.5,69148.0,0.0,0.0,94.3,Multifamily Housing,69148.0,0.0,0.0,69148.0,40.20217504483138,1147799.2,81,5871199,1147799.2,16.59916700410713,0.00367617284664777,0.0,0
73,1960,2,95,98.4,1022440.0,10333.1,1385187.3,1891.7,1434.8,457.0,249600.0,0.0,0.0,141.5,Multifamily Housing,249600.0,0.0,0.0,249600.0,4.0963141025641026,4924195.0,32,4954471,4924195.0,19.7283453525641,0.007578926282051282,0.0,0
74,1962,1,95,23.5,486290.0,4894.2,685623.9,252.7,25.8,226.9,124800.0,0.0,0.0,65.6,Multifamily Housing,124800.0,0.0,0.0,124800.0,3.896554487179487,2445244.1,100,4954481,2445244.1,19.593302083333334,0.0020248397435897437,0.0,0
75,1960,1,95,24.2,536150.0,5439.3,700209.9,258.5,28.5,230.0,124800.0,0.0,0.0,66.9,Multifamily Housing,124800.0,0.0,0.0,124800.0,4.296073717948718,2478951.0,99,4954483,2478951.0,19.863389423076924,0.0020713141025641025,0.0,0
76,1953,1,95,62.2,2723739.1,30427.2,198288.4,210.3,144.7,65.6,55200.0,0.0,0.0,92.0,Multifamily Housing,55200.0,4600.0,0.0,59800.0,45.54747658862876,707215.5,91,4964553,707215.5,11.826346153846155,0.003516722408026756,0.0,0
77,1961,2,95,55.8,14921200.9,149212.0,7159442.9,6545.0,4204.6,2340.5,1542240.0,0.0,0.0,91.6,Multifamily Housing,1542240.0,0.0,0.0,1542240.0,9.675018738977073,25220699.7,94,4972273,25220699.7,16.353291122004357,0.004243827160493827,0.0,0
78,1961,1,95,34.3,9276801.3,92768.0,5884436.8,2438.5,492.7,1945.8,881280.0,0.0,0.0,85.8,Multifamily Housing,881280.0,0.0,0.0,881280.0,10.526508374183008,20967579.5,96,4972284,20967579.5,23.792188067356573,0.0027669980029048657,0.0,0
79,2005,1,100,89.4,785100.0,8780.8,294080.0,134.8,41.7,93.1,20000.0,18.3,0.92,198.8,College/University,20000.0,0.0,0.0,20000.0,39.255,1003400.9,14,2271555,1003400.9,50.170045,0.00674,0.000915,11
80,1965,1,100,86.2,18253599.2,202045.7,1373199.8,1404.3,969.5,434.8,266000.0,12679.5,47.67,127.4,Residence Hall/Dormitory,266000.0,0.0,0.0,266000.0,68.62255338345864,4685358.4,59,2690683,4685358.4,17.614129323308273,0.005279323308270676,0.047667293233082705,4
81,1955,1,100,85.8,1389788.0,13897.9,296628.0,167.7,73.8,93.9,28000.0,254.3,9.08,165.6,College/University,28000.0,0.0,0.0,28000.0,49.635285714285715,1012094.7,39,2711327,1012094.7,36.14623928571429,0.0059892857142857135,0.009082142857142858,11
82,1900,1,100,85.8,2183924.8,21839.2,466139.9,263.6,116.0,147.6,44000.0,85.3,1.94,165.6,College/University,44000.0,0.0,0.0,44000.0,49.63465454545454,1590469.6,25,2711501,1590469.6,36.14703636363637,0.005990909090909091,0.0019386363636363635,11
83,1955,1,100,85.8,1290497.9,12905.0,275448.0,155.8,68.5,87.2,26000.0,51.6,1.99,165.6,College/University,26000.0,0.0,0.0,26000.0,49.63453461538461,939828.6,24,2811806,939828.6,36.147253846153845,0.005992307692307693,0.0019846153846153846,11
84,1888,1,100,85.8,496361.0,4963.6,105936.0,59.9,26.4,33.5,10000.0,18.0,1.8,165.6,College/University,10000.0,0.0,0.0,10000.0,49.6361,361453.6,11,2271558,361453.6,36.14536,0.00599,0.0018,11
85,1887,1,100,85.8,1985442.0,19854.4,423755.9,239.6,105.5,134.2,40000.0,1122.1,28.05,165.6,College/University,40000.0,0.0,0.0,40000.0,49.63605,1445855.4,6,2690777,1445855.4,36.146384999999995,0.00599,0.028052499999999998,11
86,1900,1,100,85.8,843832.9,8438.3,180096.0,101.8,44.8,57.0,17000.0,37.4,2.2,165.6,College/University,17000.0,0.0,0.0,17000.0,49.63722941176471,614487.5,80,2691062,614487.5,36.14632352941177,0.005988235294117647,0.0022,11
87,1887,1,100,85.8,694947.0,6949.5,148320.0,83.9,36.9,47.0,14000.0,29.2,2.08,165.6,College/University,14000.0,0.0,0.0,14000.0,49.63907142857143,506067.8,16,2691065,506067.8,36.1477,0.0059928571428571435,0.002085714285714286,11
88,1957,1,100,137.4,4758712.5,47587.1,497915.9,410.4,252.8,157.7,47000.0,486.2,10.35,219.8,College/University,47000.0,0.0,0.0,47000.0,101.24920212765957,1698889.4,68,2691089,1698889.4,36.1465829787234,0.008731914893617021,0.010344680851063829,11
89,1986,1,100,98.8,3807467.3,38074.7,556178.5,390.1,202.2,187.9,59000.0,2049.7,34.74,175.5,Residence Hall/Dormitory,59000.0,0.0,0.0,59000.0,64.5333440677966,2024271.5,55,2691090,2024271.5,34.309686440677964,0.0066118644067796615,0.03474067796610169,4
90,1920,1,100,74.3,3535327.1,35353.3,531839.9,356.2,187.8,168.4,72000.0,134.6,1.87,130.7,College/University,72000.0,0.0,0.0,72000.0,49.10176527777778,1814638.1,33,2271553,1814638.1,25.203306944444446,0.004947222222222222,0.0018694444444444444,11
91,1975,1,100,119.3,6168867.2,67863.3,1979562.6,961.9,327.7,634.3,109000.0,1757.9,16.13,256.3,College/University,109000.0,0.0,0.0,109000.0,56.595111926605504,6834919.0,1,2271551,6834919.0,62.70567889908257,0.008824770642201834,0.016127522935779817,11
92,1900,1,100,75.7,988936.0,9889.4,71640.0,75.2,52.5,22.7,16296.0,29.0,1.78,110.8,Residence Hall/Dormitory,16296.0,0.0,0.0,16296.0,60.685812469317625,244435.7,73,3122390,244435.7,14.99973613156603,0.004614629356897398,0.0017795778105056455,4
93,1900,1,100,16.7,98200.0,1016.9,50800.0,21.3,5.2,16.1,16296.0,23.9,1.47,39.7,Residence Hall/Dormitory,16296.0,0.0,0.0,16296.0,6.026018654884634,173329.6,100,3122399,173329.6,10.63632793323515,0.0013070692194403536,0.0014666175748649975,4
94,1900,1,100,58.5,1226410.9,12264.1,25050.0,73.1,65.1,7.9,22407.0,29.9,1.34,69.4,Residence Hall/Dormitory,22407.0,0.0,0.0,22407.0,54.733382425135,85470.6,93,3122409,85470.6,3.814459767037087,0.003262373365466149,0.0013344044271879324,4
95,1970,2,95,69.9,1643369.9,16433.7,5070279.7,4675.8,3028.1,1647.8,843963.0,0.0,0.0,115.5,Multifamily Housing,843963.0,0.0,0.0,843963.0,1.9472060978976566,17756043.7,68,4994371,17756043.7,21.038888790148384,0.005540290273388763,0.0,0
96,1970,1,95,24.6,821700.0,8217.0,2570799.8,866.5,43.6,822.9,393990.0,23601.0,59.9,72.9,Multifamily Housing,393990.0,0.0,0.0,393990.0,2.0855859285768674,8867483.4,100,4994373,8867483.4,22.506874286149397,0.002199294398334983,0.05990253559735019,0
97,1970,1,95,21.6,821669.9,8216.7,2519793.7,868.5,43.6,824.9,449973.0,21970.3,48.83,63.9,Multifamily Housing,449973.0,0.0,0.0,449973.0,1.8260426736715314,8888560.3,98,4994375,8888560.3,19.753541434708307,0.001930115806948417,0.04882581843799517,0
